====================================================================================================
RMG YAML BENCHMARK ANALYSIS REPORT
====================================================================================================

RUN INFO
----------------------------------------------------------------------------------------------------
Run directory:       /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012
Benchmark:           catalytic/co2_hydrog_long
SLURM job id:        
SLURM node:          
Profile file:        /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/RMG.profile
Total profile time:  6188.378 s

RMG GIT INFO
----------------------------------------------------------------------------------------------------
branch: yaml_fix
commit_hash: 6ae9f2ce2e5be0ed771a1a0fbbc4ce2b4cfd8b26
short_hash: 6ae9f2ce2
commit_date: 2026-05-15 09:58:23 -0400
commit_message: Skip empty Cantera YAML 'elements' blocks to match ck2yaml output
rmg_path: /home/lucey.da/RMG-Py

PROFILE GRAPH OUTPUT
----------------------------------------------------------------------------------------------------
Graph status:        success
DOT file:            /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/RMG.profile.dot
PDF file:            /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/RMG.profile.dot.pdf

WRITER CPU TIME SUMMARY
----------------------------------------------------------------------------------------------------
yaml_write_cumulative_s: 234.765459889
yaml_write_self_s: 14.459900555999997
chemkin_write_cumulative_s: 0.0
chemkin_write_self_s: 0.0
all_output_cumulative_s: 684.6648442500001
all_output_self_s: 0.159465955
yaml_to_chemkin_write_time_ratio: None

CHEMICAL EQUIVALENCE SUMMARY
----------------------------------------------------------------------------------------------------
yaml_file: 
chemkin_file: /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/chemkin/chem_edge0088-surface.inp
species_dictionary: /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/chemkin/species_edge_dictionary.txt
transport_file: /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/chemkin/tran.dat
yaml_loads: False
chemkin_converts: False
chemkin_loads: False
yaml_species_count: None
chemkin_species_count: None
species_count_match: False
yaml_reaction_count: None
chemkin_reaction_count: None
reaction_count_match: False
yaml_phase_names: 
chemkin_phase_names: 
yaml_surface_phase_count: None
yaml_gas_phase_count: None
chemically_equivalent_basic: False
chemical_equivalence_notes: YAML did not load in Cantera. Chemkin did not convert/load through Cantera.

YAML ERROR
----------------------------------------------------------------------------------------------------
No YAML file found.

CHEMKIN ERROR
----------------------------------------------------------------------------------------------------

usage: ck2yaml.py [-h] [-p] [-q] [-v] [--input INPUT] [--thermo THERMO]
                  [--transport TRANSPORT] [--surface SURFACE] [--extra EXTRA]
                  [--name NAME] [--single-intermediate-temperature]
                  [--no-validate] [--output OUTPUT]
ck2yaml.py: error: unrecognized arguments: --dictionary /home/lucey.da/rmg/rmg-yaml-benchmarks/rmg_runs/catalytic/co2_hydrog_long/run_012/chemkin/species_edge_dictionary.txt


CATEGORY PROFILE SUMMARY
----------------------------------------------------------------------------------------------------
Category                           Self s     Self %        Cum s      Cum %        Calls    Funcs
----------------------------------------------------------------------------------------------------
other                            5610.063     90.65%    16375.632    264.62%   1327848682     3678
reaction_generation               171.948      2.78%     5097.961     82.38%     25718371       41
thermo                             71.736      1.16%     1238.570     20.01%       871702       79
model_enlarge                      11.408      0.18%      998.263     16.13%          332        2
all_output                          0.159      0.00%      684.665     11.06%        44489       18
copying                           232.256      3.75%      555.071      8.97%    237466377       39
database                           59.502      0.96%      493.887      7.98%     23238722       97
yaml_writer                        14.460      0.23%      234.765      3.79%      1698675      149
kinetics                           13.161      0.21%       90.436      1.46%        97078       11
html_output                         3.683      0.06%       51.029      0.82%       131518        8

TOP 75 FUNCTIONS BY CUMULATIVE TIME
----------------------------------------------------------------------------------------------------
       Cum s      Cum %       Self s     Self %        Calls Category                 Function
----------------------------------------------------------------------------------------------------
    6188.815    100.01%        1.747      0.03%          304 other                    ~:0:<built-in method builtins.exec>
    6188.815    100.01%     4544.299     73.43%            1 other                    main.py:862:execute
     997.202     16.11%       11.390      0.18%          163 model_enlarge            model.py:664:enlarge
     728.684     11.78%        0.795      0.01%           65 reaction_generation      react.py:99:react_all
     727.867     11.76%        0.093      0.00%           65 reaction_generation      react.py:42:react
     727.767     11.76%        0.134      0.00%       105994 reaction_generation      react.py:77:_react_species_star
     727.633     11.76%        0.248      0.00%       105994 reaction_generation      react.py:82:react_species
     727.288     11.75%        0.886      0.01%       105994 reaction_generation      database.py:501:generate_reactions_from_families
     451.351      7.29%        0.002      0.00%           66 all_output               main.py:2218:save_everything
     446.353      7.21%      198.178      3.20%       115722 other                    common.py:186:ensure_independent_atom_ids
     334.804      5.41%       51.840      0.84%           66 other                    util.py:110:notify
     297.053      4.80%      138.807      2.24%     99868018 copying                  copy.py:128:deepcopy
     249.383      4.03%        0.343      0.01%         1665 reaction_generation      model.py:877:process_new_reactions
     249.211      4.03%        0.760      0.01%        11793 reaction_generation      model.py:519:make_new_reaction
     231.192      3.74%       24.273      0.39%        44638 other                    model.py:322:make_new_species
     229.552      3.71%       91.983      1.49%     14849933 reaction_generation      family.py:1941:_generate_reactions
     202.922      3.28%        7.022      0.11%       105994 reaction_generation      database.py:550:react_molecules
     195.245      3.16%       16.879      0.27%      8055544 reaction_generation      family.py:1760:generate_reactions
     192.311      3.11%        0.219      0.00%         7636 thermo                   model.py:971:generate_thermo
     188.204      3.04%        0.024      0.00%         9042 other                    model.py:562:<listcomp>
     181.712      2.94%        0.008      0.00%         3970 thermo                   thermoengine.py:174:submit
     181.704      2.94%       21.277      0.34%         3970 thermo                   thermoengine.py:148:evaluator
     171.936      2.78%       52.993      0.86%     32666363 copying                  copy.py:227:_deepcopy_dict
     143.466      2.32%        0.037      0.00%         3970 thermo                   thermoengine.py:107:generate_thermo_data
     142.955      2.31%       27.832      0.45%         5444 thermo                   thermo.py:1330:get_thermo_data
     130.632      2.11%        6.550      0.11%       115722 reaction_generation      common.py:272:find_degenerate_reactions
     127.140      2.05%        0.135      0.00%         9040 database                 family.py:1898:calculate_degeneracy
     116.546      1.88%        5.657      0.09%           66 other                    main.py:2212:save_profiler_info
     114.947      1.86%       77.970      1.26%       391576 other                    adjlist.py:887:to_adjacency_list
     109.742      1.77%       44.869      0.73%           66 other                    cProfile.py:55:snapshot_stats
     101.223      1.64%        2.376      0.04%       345092 other                    filtration.py:55:filter_structures
